Inventory Turnover (By Unit) 2013-05-01 to 2013-07-11
Product Code	Description	Qty Sold	Starting Inventory	Ending Inventory	Inventory Turns
CIFB-GBAB-2013	Fee Brothers 2013 Old Tom Gin Barrel-Aged Orange Bitters	18	130	112	0.15
CIFB-CRAN-004-CS	12 / 4 oz. Fee Brothers Cranberry Bitters	0	0	0	0.00
CIFB-GRAB-004-CS	12 / 4 oz. Fee Brothers Grapefruit Bitters	0	0	0	0.00
CIFB-MINB-004-CS	12 / 4 oz. Fee Brothers Mint Bitters Cocktail Flavoring	0	0	0	0.00
CIFB-RHUB-004-CS	12 / 4 oz. Fee Brothers Rhubarb Bitters Cocktail Flavoring	0	0	0	0.00
CIFB-PLUM-004-CS	12 / 4 oz. Fee Brothers Plum Bitters Cocktail Flavoring	0	0	0	0.00
CIFB-OFAB-004-CS	12 / 4 oz. Fee Brothers Old Fashioned Aromatic Bitters	0	0	0	0.00
CIFB-WBAB-2013	Fee Brothers 2013 Whiskey Barrel-Aged Aromatic Bitters	109	174	69	0.90
CIFB-FALE-032-CS	12 / 32oz. Fee Brothers West Indies Style Falernum	0	0	0	0.00
CIFB-GBAB-2012	Fee Brothers 2012 Old Tom Gin Barrel-Aged Orange Bitters	0	0	0	0.00
CIFB-CHEB-004	Fee Brothers Cherry Bitters, 4 oz.	10	10	0	2.00
CIFB-OFAB-12.8	Fee Brothers Old Fashioned Aromatic Bitters, 4/5th pint	0	21	21	0.00
CIFB-FALE-032	Fee Brothers West Indies Style Falernum, 32 oz.	4	13	9	0.36
CIOS-TOMO-008	Tomolives - Old South - 8 fl oz Jar	31	32	0	1.94
CIFB-ABGR-012	Fee Brothers American Beauty Grenadine, 12.8 oz.	0	0	0	0.00
CIFB-WBAB-2012	Fee Brothers 2012 Whiskey Barrel-Aged Aromatic Bitters	0	0	0	0.00
CIFB-FALE-12.8	Fee Brothers West Indies Style Falernum, 12.8oz.	4	16	12	0.29
CIFB-AZTE-004	Fee Brothers Aztec Chocolate Bitters, 4 oz.	13	33	21	0.48
CIFB-ORGE-12.8	Fee Brothers Orgeat Almond Cordial Syrup, 12.8oz.	13	15	2	1.53
CIFB-ORBI-12.8	Fee Brothers West Indian Orange Bitters, 12.8 oz.	1	17	16	0.06
CIFB-ABGR-012-CS	12 / 12.8 oz. Fee Brothers American Beauty Grenadine	0	0	0	0.00
CIFB-LEMB-004-CS	12 / 4 oz. Fee Brothers Lemon Bitters	0	0	0	0.00
CIFB-ORBI-004	Fee Brothers West Indian Orange Bitters, 4 oz.	36	44	7	1.41
CIFB-ORBI-12.8-CS	12 / 12.8 oz. Fee Brothers West Indian Orange Bitters	0	0	0	0.00
CIFB-CHEB-004-CS	12 / 4 oz. Fee Brothers Cherry Bitters Cocktail Flavoring	0	0	0	0.00
CIFB-OFAB-004	Fee Brothers Old Fashioned Aromatic Bitters, 4 oz.	12	28	16	0.55
CIFB-BLWA-004	Fee Brothers Black Walnut Bitters, 4 oz.	36	36	0	2.00
CIFB-WBAB-2011-CS	12 / 4 oz. Fee Brothers 2011 Whiskey Barrel-Aged Aromatic Bitters	0	0	0	0.00
CIFB-GRAB-004	Fee Brothers Grapefruit Bitters, 4 oz.	34	34	0	2.00
CIFB-BLWA-004-CS	12 / 4 oz. Fee Brothers Black Walnut Bitters	0	0	0	0.00
CIFB-WBAB-2011	Fee Brothers 2011 Whiskey Barrel-Aged Aromatic Bitters	0	0	0	0.00
CIFB-PLUM-004	Fee Brothers Plum Bitters, 4 oz.	10	30	20	0.40
CIOS-TOMO-032	Tomolives - Old South - 32 fl oz Jar	17	17	0	2.00
CIFB-CRAN-004	Fee Brothers Cranberry Bitters, 4 oz. 	10	25	16	0.49
CIOS-TOMO-008-CS	12 / 8 oz. jar Tomolives - Old South	0	0	0	0.00
CIFB-ORBI-004-CS	12 / 4 oz. Fee Brothers West Indian Orange Bitters	0	0	0	0.00
CIFB-MINB-004	Fee Brothers Mint Bitters Cocktail Flavoring, 4 oz.	1	1	0	2.00
BIBSFABG-4	Fee Brothers American Beauty Grenadine, 4 oz.	0	0	0	0.00
BIBSROSEGS	Roses Grenadine Syrup, 12 oz.	0	0	0	0.00
BIBSROSESLJ	Roses Sweetened Lime Juice, 12 oz.	0	0	0	0.00
BIBSSBMM	Stirrings Bloody Mary Mix, 32 oz.	0	0	0	0.00
CIFB-WBAB-2010-CS	12 / 4 oz. Fee Brothers 2010 Whiskey Barrel-Aged Aromatic Bitters	0	0	0	0.00
CIFB-CELE-004-CS	12 / 4 oz. Fee Brothers Celery Bitters	0	0	0	0.00
CIFB-FALE-12.8-CS	12 / 12.8oz. Fee Brothers West Indies Style Falernum	0	0	0	0.00
CIFB-WBAB-2010	Fee Brothers 2010 Whiskey Barrel-Aged Aromatic Bitters	0	0	0	0.00
CIFB-ORGE-12.8-CS	12 / 12.8oz. Fee Brothers Orgeat Almond Cordial Syrup	0	0	0	0.00
CIFB-LEMB-004	Fee Brothers Lemon Bitters, 4 oz.	2	3	0	1.33
CIFB-PEAB-004-CS	12 / 4 oz. Fee Brothers Peach Bitters Cocktail Flavoring	0	0	0	0.00
CIFB-CELE-004	Fee Brothers Celery Bitters, 4 oz. 	9	24	16	0.45
CIFB-ORGE-032	Fee Brothers Orgeat Almond Cordial Syrup, 32 oz.	25	25	0	2.00
CIFB-RHUB-004	Fee Brothers Rhubarb Bitters, 4 oz.	39	39	0	2.00
CIOS-TOMO-032-CS	12 / 32 oz. jar Tomolives - Old South	0	0	0	0.00
CIFB-AZTE-004-CS	12 / 4 oz. Fee Brothers Aztec Chocolate Bitters	0	0	0	0.00
CIFB-PEAB-004	Fee Brothers Peach Bitters, 4 oz.	31	35	4	1.59
CIFB-OFAB-12.8-CS	12 / 12.8 oz. Fee Brothers Old Fashioned Aromatic Bitters	0	0	0	0.00
